User;Description;Time (h);Time (decimal)
Alla Gushchina;;138:19:05;138,32
;farben;00:53:09;0,89
;Erstellung des Backlogs;03:20:00;3,33
;prototyping;00:28:31;0,48
;mobile timeline design;07:51:47;7,86
;clockify;00:20:00;0,33
;projektmanagement tool aussuchen, backlog erstellen;02:40:00;2,67
;toft besprechen;00:50:00;0,83
;plakat toft;00:20:00;0,33
;notiz, schrift;01:45:02;1,75
;Ziele definieren;02:30:00;2,50
;inspo gucken;00:31:00;0,52
;notiz;03:32:38;3,54
;Timeline Designs;04:05:00;4,08
;design lernen, landing page;05:30:00;5,50
;ais gucken;00:15:00;0,25
;grautöne;01:02:03;1,03
;branding book nachbearbeitungen;00:40:00;0,67
;vorstellungswebsite machen;01:40:00;1,67
;vorstellungswebsite;04:05:00;4,08
;schrift, notiz, login, features, fotos;02:47:42;2,80
;mobile timeline;14:44:17;14,74
;besprechungen;00:36:31;0,61
;komponenten;06:14:35;6,24
;risikoanalyse;00:30:00;0,50
;landing page, logo, timeline;04:00:00;4,00
;plakat gang;01:50:00;1,83
;designen;03:30:00;3,50
;mobile timeline design, figma bissi aufgeräumt lol;03:11:45;3,20
;dashboard, user profile, foto feature;01:13:52;1,23
;Logo;03:20:00;3,33
;Diplomarbeitsmeeting;00:45:00;0,75
;branding book, mockups, website;13:25:00;13,42
;prezi zeug;02:15:21;2,26
;research;05:09:52;5,16
;landing page, login, timeline, dashboard;05:55:00;5,92
;Projektauftrag;00:50:00;0,83
;arbeiten am plakat;04:30:00;4,50
;timeline;04:10:00;4,17
;logos, risikoanalyse;01:40:00;1,67
;zeitleiste;00:33:00;0,55
;Planning Poker;03:30:00;3,50
;überlegungen;03:30:00;3,50
;adobe xd, freifächer, features;02:03:00;2,05
;Vorbereitung - Diplomarbeitsmeeting;01:50:00;1,83
;mobile timeline, profile, daily message, login, signup, dashboard;03:55:00;3,92
Darius;;111:00:05;111,00
;Internes Meeting, Review, Retrospektive, Nächste Schritte, Planung für Interne Präsentation in LIZ;02:40:00;2,67
;powerpoint;05:03:34;5,06
;Datenschutz Recherche;01:34:20;1,57
;Interne Präsentation Vorbereitung;02:00:00;2,00
;Feedback zusammenschreiben;01:40:31;1,68
;Datenbank Besprechung;02:40:00;2,67
;Jahresreview Konzept, Planung, Sprint organisiert;03:30:00;3,50
;Powerpoint renntime;00:31:46;0,53
;Datenschutz, WebUntis Integration;01:40:00;1,67
;Diplomarbeitsmeeting;00:45:00;0,75
;Antrag verbessert;00:46:22;0,77
;Userstories Verteilung;00:40:00;0,67
;Airtable neu einrichten;01:00:00;1,00
